iteration,loss,gradient_norm,step_size
0,51.38975187384918,10.23498681761949,10.028599703668512
1,0.017024284434541338,0.10028599703650075,0.1118101006275885
2,0.011932821081758666,0.0011181010062744493,0.017452864470577176
3,0.011926594452379813,0.00017452864470578254,0.007406409878659736
4,0.01192571556429618,7.406409878661151e-05,0.004376287451039494
5,0.011925472039685301,4.376287451039991e-05,0.0034688563835780016
6,0.011925339637465641,3.4688563835784984e-05,0.003098555685645112
7,0.01192523866147699,3.0985556856452906e-05,0.002860279462328933
8,0.011925153606591129,2.8602794623290357e-05,0.0026629172627120282
9,0.011925080104966377,2.6629172627122963e-05,0.0024848294784307534
10,0.0119250161575085,2.4848294784308153e-05,0.0023201100940363232
11,0.01192496041973555,2.320110094036474e-05,0.0021666927779689263
12,0.011924911812654449,2.166692777969124e-05,0.002023521598018628
13,0.011924869417841,2.0235215980186184e-05,0.0018898378996060328
14,0.011924832439798642,1.8898378996061278e-05,0.0017649931940871327
15,0.011924800186046863,1.7649931940872404e-05,0.0016483977837352364
16,0.011924772052918307,1.6483977837354204e-05,0.0015395051765171527
17,0.011924747513953272,1.5395051765172743e-05,0.0014378061155924714
18,0.011924726109971483,1.43780611559244e-05,0.0013428252882273569
19,0.011924707440460683,1.342825288227535e-05,0.0012541188615123378
20,0.011924691156077489,1.2541188615123876e-05,0.0011712723435414584
21,0.011924676952109286,1.171272343541373e-05,0.0010938986293260807
22,0.011924664562772176,1.0938986293262381e-05,0.0010216361873978909
23,0.011924653756237552,1.0216361873979597e-05,0.0009541473693028614
24,0.011924644330294137,9.54147369302934e-06,0.0008911168315994548
25,0.011924636108564195,8.911168315994927e-06,0.0008322500623185626
26,0.011924628937203172,8.322500623186117e-06,0.0007772720048246422
27,0.011924622682020953,7.772720048246847e-06,0.00072592577259941
28,0.011924617225970914,7.2592577259941574e-06,0.0006779714489307363
29,0.011924612466959746,6.779714489308652e-06,0.0006331849658948102
30,0.011924608315937097,6.331849658947968e-06,0.0005913570573917677
31,0.01192460469522926,5.913570573917123e-06,0.0005522922813446959
32,0.011924601537085747,5.5229228134482665e-06,0.0005158081064907887
33,0.011924598782411555,5.158081064907491e-06,0.000481734059498217
34,0.01192459637966137,4.817340594982947e-06,0.00044991092842588666
35,0.01192459428387506,4.499109284259567e-06,0.0004201900188001421
36,0.011924592455836394,4.201900188001432e-06,0.0003924324588361353
37,0.01192459086133921,3.924324588361622e-06,0.0003665085505555935
38,0.011924589470547366,3.6650855055552704e-06,0.00034229716376901786
39,0.011924588257436433,3.4229716376910624e-06,0.0003196851700920287
40,0.01192458719930676,3.196851700920182e-06,0.00029856691434897674
41,0.011924586276358675,2.985669143489925e-06,0.0002788437208970237
42,0.011924585471322021,2.788437208971069e-06,0.00026042343256097377
43,0.011924584769133006,2.604234325609672e-06,0.0002432199800261827
44,0.011924584156652304,2.4321998002618055e-06,0.0002271529796777016
45,0.011924583622419205,2.2715297967773635e-06,0.00021214735800526946
46,0.011924583156437178,2.121473580052523e-06,0.00019813300082017782
47,0.011924582749986784,1.981330008202216e-06,0.00018504442564506416
48,0.01192458239546255,1.850444256450863e-06,0.00017282047574481346
49,0.011924582086230638,1.7282047574479064e-06,0.00016140403437024713
50,0.011924581816504713,1.6140403437017438e-06,0.00015074175787846655
51,0.011924581581237688,1.5074175787856194e-06,0.0001407838264833734
52,0.011924581376027251,1.40783826483377e-06,0.00013148371147065062
53,0.01192458119703352,1.3148371147062358e-06,0.00012279795779181692
54,0.011924581040907168,1.2279795779175341e-06,0.00011468598101890782
55,0.011924580904726778,1.146859810190092e-06,0.00010710987771285763
56,0.011924580785944144,1.0710987771281837e-06,0.00010003424831793503
57,0.011924580682336606,1.0003424831797684e-06,9.342603175732448e-05
58,0.011924580591965475,9.342603175734581e-07,8.725435095348727e-05
59,0.01192458051313973,8.725435095349955e-07,8.149036855457823e-05
60,0.011924580444384384,8.149036855458181e-07,7.610715219098638e-05
61,0.011924580384412888,7.61071521910388e-07,7.107954863314608e-05
62,0.011924580332103068,7.10795486331746e-07,6.63840662621867e-05
63,0.011924580286476102,6.638406626207838e-07,6.199876530477663e-05
64,0.011924580246678213,6.199876530474729e-07,5.7903155319263416e-05
65,0.011924580211964717,5.790315531924784e-07,5.407809945291866e-05
66,0.011924580181686052,5.407809945292877e-07,5.0505725024809244e-05
67,0.011924580155275642,5.050572502484987e-07,4.716934001511014e-05
68,0.011924580132239298,4.7169340015196794e-07,4.405335507119006e-05
69,0.011924580112145968,4.405335507115861e-07,4.1143210665745186e-05
70,0.011924580094619665,4.114321066563888e-07,3.8425309067372226e-05
71,0.011924580079332444,3.842530906749123e-07,3.5886950804819184e-05
72,0.011924580065998242,3.588695080473819e-07,3.351627532741491e-05
