iteration,loss,gradient_norm,learning_rate
0,10.634572828625222,13.341900367446353,1.0
1,7.952660334498369,9.441023805561597,0.6400000000000001
2,1.0398994742684977,0.29943103756733375,1.0
3,1.028767067452852,0.1836831076768875,1.0
4,1.0202281137443905,0.05598714803214306,1.0
5,1.0193241120815595,0.0525333655645058,1.0
6,1.018679305078179,0.041353741379621486,1.0
7,1.018316750229958,0.03577314852014418,1.0
8,1.0180468667223326,0.027257939056887396,1.0
9,1.017625036719083,0.022568270931014874,1.0
10,1.0173739297344617,0.016647337807021104,1.0
11,1.0172818624002005,0.0189182435454746,1.0
12,1.0172199731200773,0.008972928192201954,1.0
13,1.0171786530618474,0.007226472925451061,1.0
14,1.0171336751328681,0.008034010054403799,1.0
15,1.0171309975238285,0.020561228026471208,0.40960000000000013
16,1.017102819285338,0.006091728547814766,1.0
17,1.0170953905381128,0.0042735890798153075,1.0
18,1.0170847671398096,0.0043970382801448915,1.0
19,1.0170718134565935,0.0039988706316124185,1.0
20,1.0170708749650468,0.011707836668969927,0.5120000000000001
21,1.01706123109399,0.0032935477448059716,1.0
22,1.017058891610796,0.0021985238019887683,1.0
23,1.0170553646988476,0.00241440341786803,1.0
24,1.017050585303142,0.0025847445254291645,1.0
25,1.0170474480614775,0.008569095740170604,1.0
26,1.0170394706058514,0.002626858163055036,1.0
27,1.0170375873736588,0.0016193417689708365,1.0
28,1.0170365865678892,0.0028969098226996953,1.0
29,1.0170357507194896,0.001424386784030353,1.0
30,1.0170353805089092,0.0011294158493722465,1.0
31,1.017034745010197,0.0008317857041740595,1.0
32,1.0170346067128249,0.0012259781186293498,1.0
33,1.0170344193247467,0.0005807986217984749,1.0
34,1.0170342902590526,0.0004693967132076223,1.0
35,1.0170341694814011,0.0004502308775158706,1.0
36,1.0170339673644786,0.0007097690904623699,1.0
37,1.0170338450032061,0.000823671459571562,1.0
38,1.0170337169479793,0.0004124206075587662,1.0
39,1.017033627427439,0.00041687774035199717,1.0
40,1.0170334948008242,0.0005935433557060548,1.0
41,1.0170334671976848,0.001278429813544563,0.6400000000000001
42,1.017033342534256,0.00036056385312746467,1.0
43,1.01703330715209,0.0003366436041331537,1.0
44,1.0170332415540346,0.0004068612900015513,1.0
45,1.0170331459891442,0.0005010944880752462,1.0
46,1.017033127069969,0.0008165312057377895,0.6400000000000001
47,1.017033076268911,0.00020651204570471877,1.0
48,1.0170330664798963,0.0001726507150691381,1.0
49,1.0170330534074943,0.0001960161656780409,1.0
50,1.0170330313988654,0.00018740205278500475,1.0
51,1.0170330169303794,0.00035451829595848825,1.0
52,1.0170330008783544,0.000146398320119087,1.0
53,1.0170329957232733,9.534540774566804e-05,1.0
54,1.0170329915032867,9.437900027279723e-05,1.0
55,1.0170329868704484,9.535723005024398e-05,1.0
56,1.0170329831556373,5.7372006483511724e-05,1.0
57,1.0170329810224557,7.289899116315766e-05,1.0
58,1.017032979038623,5.2704647214804444e-05,1.0
59,1.0170329773002833,5.4418404511150826e-05,1.0
60,1.01703297726851,0.00017629264985343662,0.5120000000000001
61,1.0170329751524076,4.231846644392637e-05,1.0
62,1.0170329747916567,3.2142634608539626e-05,1.0
63,1.017032974008265,3.110026486308726e-05,1.0
64,1.0170329735037338,2.5033755306629672e-05,1.0
65,1.017032973395607,6.875587147187044e-05,1.0
66,1.0170329730895966,1.7184933559488656e-05,1.0
67,1.0170329730345817,1.5202399029159911e-05,1.0
68,1.0170329729954986,1.4314515539219266e-05,1.0
69,1.0170329729616159,1.3679738304288168e-05,1.0
70,1.0170329729312446,1.3186504952968618e-05,1.0
71,1.0170329729035334,1.2776078565041421e-05,1.0
72,1.0170329728779606,1.2419444567794323e-05,1.0
73,1.0170329728541683,1.2101209423406198e-05,1.0
74,1.0170329728318968,1.181240554671132e-05,1.0
75,1.0170329728109435,1.1547296263598818e-05,1.0
76,1.0170329727911522,1.1301903600150964e-05,1.0
77,1.0170329727723928,1.1073290539513244e-05,1.0
78,1.017032972754559,1.0859187738150987e-05,1.0
79,1.017032972737562,1.0657785103939601e-05,1.0
80,1.017032972721326,1.046760641486284e-05,1.0
81,1.0170329727057852,1.0287428169090425e-05,1.0
82,1.0170329726908838,1.0116223602987198e-05,1.0
83,1.0170329726765726,9.953122106253636e-06,1.0
